emp_no,emp_title_id,birth_date,first_name,last_name,gender,hire_date
25549,e0003,1960-02-17,Paraskevi,Nastansky,M,1988-10-29
278015,e0002,1963-08-15,Cullen,Besselaar,M,1986-07-08
295977,e0002,1961-05-21,Candido,Yamaashi,F,1989-07-18
15833,e0003,1959-11-25,Magy,Pettit,M,1985-12-16
32967,s0001,1955-01-01,Morris,Zykh,M,1991-04-24
297156,e0002,1963-12-03,JoAnna,Detkin,M,1995-03-16
461313,e0003,1955-11-23,Mohamadou,Khamsi,F,1985-02-16
108526,e0003,1962-06-23,Guadalupe,Lorch,M,1986-07-01
229926,s0001,1954-11-20,Tomofumi,Sgarro,M,1985-05-16
295290,s0001,1953-09-10,Berto,Sadowski,M,1990-08-18
264142,s0002,1957-01-26,Candido,Braunmuhl,M,1993-03-12
461437,s0002,1964-03-22,Shaibal,Seiwald,F,1990-09-20
489573,e0002,1961-03-15,Lein,McFarlan,M,1996-08-01
425831,s0002,1952-10-15,Baocai,Mapelli,M,1990-04-14
486891,s0002,1960-01-13,Karsten,Ramsey,M,1985-05-16
95170,e0003,1959-04-17,Eldridge,Auria,F,1991-10-21
452575,e0003,1960-02-07,Aria,Famili,M,1986-02-25
273749,e0003,1953-03-23,Youssef,Standera,M,1988-05-05
27081,s0001,1962-03-20,Chiranjit,Lalonde,M,1986-07-17
252102,e0002,1964-07-03,Eben,Merel,M,1985-07-09
456829,s0001,1964-12-23,Subhankar,Ferretti,M,1997-12-16
24823,e0004,1953-06-30,Garnet,Walstra,F,1987-07-13
109995,e0003,1960-02-11,Constantijn,Anido,F,1986-06-11
215888,e0003,1958-11-26,Vivian,Hofstetter,M,1988-12-18
262337,e0002,1963-04-21,Zhiguo,Olano,M,1991-01-02
435788,e0002,1954-08-03,Babette,Chenoweth,M,1992-09-03
436292,e0003,1957-05-04,Yakkov,Boissier,M,1991-02-17
234542,s0002,1954-11-30,Udo,Awdeh,F,1997-04-29
288616,s0001,1953-12-26,Baocai,Coors,F,1995-01-04
207427,s0001,1956-11-21,Subhrajyoti,Haddadi,F,1988-05-18
411186,s0001,1956-06-02,Xinyu,Kisuki,M,1990-02-20
26462,e0004,1954-06-13,Zijian,Viele,F,1996-01-23
251280,e0004,1963-02-08,Gill,Crabtree,M,1989-05-16
271952,s0001,1958-10-16,Karsten,Bernardeschi,M,1987-09-29
237433,e0003,1961-07-14,Nikolaus,Ranta,M,1985-07-20
290190,s0001,1953-07-16,Utz,Dichev,F,1991-01-24
44770,s0001,1961-08-02,Elgin,Champarnaud,F,1994-02-10
33872,e0003,1957-08-27,Sanjiv,Budinsky,F,1985-02-21
244974,s0001,1956-05-03,Jordanka,Kropf,M,1993-05-28
46621,e0004,1954-11-01,Karsten,Taneja,M,1994-05-18
449375,s0001,1959-07-24,Pranjal,Cronan,F,1988-11-23
214366,s0001,1953-12-03,Nectarios,DasSarma,F,1996-03-14
420270,s0001,1957-02-28,Chikara,DuBourdieux,F,1990-07-15
240719,e0002,1961-06-04,Chiradeep,Adachi,M,1990-07-17
478784,e0003,1964-11-13,Vishwani,Rathonyi,M,1986-09-15
436729,e0004,1956-05-17,Ranan,Fendler,F,1990-02-17
441123,e0003,1957-10-10,Wayne,Radhakrishnan,M,1986-11-19
63548,e0002,1964-03-12,Brendon,Trystram,F,1992-11-21
93300,e0001,1957-05-14,Lobel,Luca,M,1991-06-12
39862,s0001,1962-02-20,Shmuel,Narahara,M,1986-04-30
244486,s0001,1957-07-26,Tamiya,Bressoud,M,1985-05-23
489734,s0002,1954-07-19,Miyeon,Staylopatis,M,1988-10-01
458042,e0002,1958-06-03,Lorien,Neiman,M,1994-06-30
25039,s0001,1960-07-03,Marin,Puppe,M,1990-02-15
70153,e0004,1957-06-12,Anyuan,Sifakis,F,1996-11-07
31363,s0002,1955-04-22,Hidde,Merli,M,1986-12-27
231559,s0001,1964-02-11,Otilia,Bergere,M,1993-05-06
78175,e0003,1958-12-20,Jouko,Vingron,F,1992-03-07
53174,s0001,1955-01-02,Prodip,Krichel,F,1991-05-08
105867,e0003,1963-12-13,Tadanori,Prochazka,M,1987-08-24
56517,s0002,1962-01-11,Dinkar,Merel,M,1985-03-13
214622,s0001,1955-04-10,Shaw,Peha,F,1988-10-28
299723,e0003,1963-05-18,Francesca,Thummel,F,1986-07-18
253162,e0003,1963-01-30,Rosalyn,Luby,F,1986-01-29
294851,e0003,1958-06-30,Kwangjo,Bridgland,M,1986-02-09
232892,s0001,1952-07-26,Yucai,Matzat,M,1990-11-04
267814,s0001,1963-02-07,Shan,Baaz,M,1985-11-09
480367,e0003,1958-05-12,Dayanand,Bugaenko,F,1987-11-25
485858,e0003,1962-10-16,Tesuro,Siprelle,M,1986-05-06
70287,s0001,1955-08-25,Nimmagadda,McConalogue,F,1987-04-30
458473,s0001,1954-02-08,Eben,Schoegge,M,1987-10-01
18863,e0003,1957-08-30,Gino,Perez,M,1992-05-17
423770,s0002,1963-10-06,Vasiliy,Jeansoulin,F,1998-12-30
72139,e0003,1961-08-04,Mostafa,Potthoff,M,1986-12-19
104999,e0002,1964-08-29,Gor,Cusworth,M,1991-08-23
27791,s0001,1961-12-24,Irena,Ishibashi,F,1990-01-23
422595,e0003,1959-04-20,Sverrir,Narahari,M,1988-11-16
424464,s0001,1954-01-10,Jianhua,Deverell,M,1987-01-23
478394,s0001,1960-01-16,Eishiro,Lubachevsky,M,1985-07-13
37005,s0001,1964-03-03,Flemming,Cooley,M,1990-02-01
413515,e0001,1955-06-09,Ayakannu,Nitto,F,1990-02-06
455318,s0002,1953-08-22,Houman,Schaaf,M,1986-10-04
236307,e0003,1960-12-30,Zijian,Radwan,F,1988-06-26
465894,s0001,1962-11-10,Naftaly,Hitomi,M,1992-07-04
235579,s0001,1958-04-02,Niranjan,Garrabrants,F,1985-10-29
439612,e0003,1955-07-06,Bojan,Kalorkoti,F,1996-07-10
102101,s0001,1954-02-12,Nobuyoshi,Jullig,F,1992-06-26
490019,s0001,1954-03-23,Geoffry,Roisin,F,1989-04-01
478125,s0002,1954-11-26,Kazuhiro,Erez,M,1987-12-31
281804,s0002,1963-05-17,Susanne,Ranum,M,1995-03-06
428874,e0003,1963-10-07,Sanjit,Prochazka,M,1985-03-29
44454,s0001,1952-04-26,Toshimo,Besancenot,M,1985-05-21
37970,s0001,1952-11-28,Cathie,Woycyznski,M,1985-02-07
235320,e0003,1962-03-05,Sashi,Back,F,1992-07-27
101168,e0002,1952-02-25,Charlene,Glinert,M,1995-04-04
289769,s0001,1963-09-29,Genevieve,Sichman,M,1989-09-11
461533,e0004,1958-04-28,Genki,Kieras,M,1987-04-27
455080,s0001,1959-01-10,Susuma,Zaccaria,F,1986-01-20
470894,s0002,1957-12-25,Sachio,Lorin,M,1989-04-05
255163,e0003,1962-08-01,Barun,Tchuente,M,1994-09-25
201520,e0003,1959-11-26,Shahaf,Holburn,M,1994-05-19
18333,e0002,1952-03-02,Munehiro,Plesums,M,1986-06-30
64132,s0001,1957-12-28,Gad,Cappello,F,1990-03-15
409785,s0001,1959-03-07,Zongyan,Verspoor,M,1988-10-24
23669,e0002,1963-08-23,Vishwani,Kaminger,M,1986-01-10
405295,s0001,1952-07-19,Yinlin,Strehl,F,1992-04-28
102245,s0002,1964-08-27,Maren,Veeraraghavan,M,1985-08-08
105419,e0003,1962-08-18,Marjo,Limongiello,F,1986-11-06
218398,e0002,1955-07-12,Odysseas,Hasham,M,1989-04-29
228771,s0002,1961-02-16,Giri,Menhoudj,M,1988-10-05
449309,e0004,1958-06-21,Ute,Ghazalie,F,1986-11-15
106690,e0003,1954-07-01,Shushma,Heyers,M,1986-08-22
418611,s0001,1955-11-01,Chirstian,Peak,M,1991-09-07
261764,e0003,1955-05-30,Kenton,Viele,F,1986-07-21
422563,e0003,1957-10-06,Kousuke,Dayang,M,1990-04-02
54194,e0003,1955-11-02,Lijie,Trystram,M,1989-06-30
452844,s0001,1964-12-03,Sungwon,Nitta,F,1988-10-13
459097,s0001,1954-07-22,Dekang,Openshaw,M,1990-12-12
456120,e0003,1959-12-05,Weijing,Kirkerud,F,1993-12-19
239380,e0003,1956-07-14,Abdelkader,Lodder,M,1986-12-04
405291,e0004,1958-08-05,Huan,Vigier,M,1985-02-05
77899,s0001,1961-02-14,Falguni,Pokrovskii,M,1990-10-24
413554,e0002,1965-01-20,Elvia,Schwartzburd,M,1991-10-16
421121,e0003,1961-07-19,Adit,Zhiwei,F,1989-03-26
77004,s0001,1953-11-08,Remzi,Janocha,F,1992-05-26
34813,s0001,1952-10-11,Brewster,Rettelbach,F,1988-07-01
486298,s0001,1957-04-02,Mingdong,Engberts,M,1989-04-18
102633,e0003,1962-07-09,Fai,Ernst,M,1987-05-08
210507,e0003,1958-12-23,Weiwu,Mungall,M,1991-08-27
403305,e0002,1963-01-20,Valeri,Fujisawa,F,1996-08-29
422816,s0001,1958-11-29,Xudong,Swiler,F,1985-11-21
90567,e0003,1956-02-26,Sreekrishna,Sommer,M,1988-02-22
254879,e0004,1961-03-17,Vidar,Suermann,F,1990-06-01
422404,e0002,1956-11-17,Sivanarayana,Halloran,M,1990-08-26
402501,s0001,1964-03-16,Marla,Benner,F,1988-04-17
448895,e0003,1959-03-28,Angus,Norsworthy,M,1991-07-30
233842,e0003,1960-11-28,Zengping,Majewski,F,1986-10-30
15726,s0001,1954-12-23,Zhilian,Parascandalo,M,1985-07-03
22968,s0001,1959-12-21,Shim,Varley,F,1991-01-26
44081,s0001,1962-10-27,JoAnna,Matheson,F,1985-07-01
30575,s0002,1961-08-08,Gift,Kaelbling,F,1985-10-18
413867,e0002,1964-09-30,Sachar,Zielinski,M,1990-08-09
223743,s0001,1961-03-31,Naftaly,Callaway,F,1989-10-08
275572,e0002,1961-04-17,Dhritiman,Domenig,M,1988-08-20
105871,e0003,1960-10-13,Sushant,Solovay,M,1990-05-26
288206,s0002,1952-05-13,Jouni,Tiemann,F,1985-05-08
47673,e0004,1956-02-15,Shuzo,Wiegley,M,1985-12-29
98771,s0001,1963-05-21,Tsuneo,Laventhal,M,1992-06-29
74671,s0001,1955-10-20,LiMin,Borovoy,M,1990-03-12
85707,s0001,1963-04-25,Subhash,Gecsei,M,1997-10-18
215572,s0001,1961-04-08,Thodoros,Halloran,F,1986-09-29
266101,e0004,1960-02-15,Oksana,Birta,F,1986-02-08
497909,e0003,1953-07-05,Taizo,Domenig,M,1995-08-19
446077,s0001,1960-09-29,Hironoby,Keirsey,F,1985-08-28
16028,e0003,1952-09-20,JiYoung,Takkinen,F,1988-08-12
266918,e0004,1955-06-27,Fumitaka,Cangellaris,F,1990-09-20
26747,e0004,1953-05-13,Macha,McDermid,M,1988-05-10
13135,e0004,1959-02-25,Ramya,Peternell,F,1994-08-10
471361,s0001,1954-02-12,Gaurav,Gewali,F,1988-11-22
39655,e0003,1954-11-05,Larisa,Kaiser,M,1990-08-25
237890,s0001,1958-09-12,Rasikan,Garnick,F,1986-05-23
244905,s0001,1963-01-05,Mahendra,Schapire,M,1992-01-18
31707,e0003,1955-03-04,Anoosh,Akazan,M,1990-05-29
479845,e0003,1962-10-03,Angel,Dechter,M,1989-08-07
446388,e0002,1959-02-20,Patricia,Baer,F,1994-12-15
40852,e0002,1958-07-05,Elzbieta,Reeken,F,1998-07-26
229350,e0003,1957-07-24,Tadahiko,Coors,M,1995-01-03
91183,e0003,1963-05-02,Jamaludin,Thibadeau,M,1993-08-07
98902,e0002,1963-09-18,Akemi,Bernardinello,F,1996-04-23
221277,s0001,1954-09-06,Ioana,Shigei,M,1992-11-12
53938,s0001,1955-01-12,Adib,Garrabrants,F,1992-07-10
265376,e0002,1957-01-08,Akeno,Glinert,M,1985-10-31
408676,s0001,1953-05-22,Oksana,Boguraev,M,1991-02-19
231893,s0001,1964-11-10,Shigeichiro,Brizzi,M,1987-01-01
285553,e0004,1962-02-08,Ung,Waleschkowski,F,1994-06-18
277822,s0001,1955-01-29,Odoardo,Rosch,F,1990-10-03
409017,e0003,1952-02-08,Hinrich,Bultermann,M,1987-09-04
462028,e0003,1955-10-27,Rasiah,Angot,M,1986-02-08
64158,s0001,1952-12-25,Yechiam,Fujisawa,F,1986-07-09
440556,e0003,1961-05-23,Sudharsan,Antonisse,M,1985-06-15
85653,s0001,1952-09-22,Tayeb,Rosis,M,1992-05-10
101813,e0003,1952-05-27,Shai,Turnbull,F,1987-12-24
440752,e0001,1963-12-05,Lucian,Yemenis,F,1997-03-21
481264,e0003,1952-11-18,Jouko,Backhouse,M,1990-09-21
260414,e0004,1954-07-14,Stamatina,Jullig,F,1985-05-26
427955,e0002,1954-05-05,Dzung,Babb,F,1996-05-22
12562,s0001,1958-11-13,Sven,Luby,F,1997-06-24
59722,s0001,1957-08-31,Shunichi,Cappelli,F,1987-01-18
228793,s0001,1958-12-11,Lansing,Miara,F,1997-12-26
100659,e0003,1954-06-21,Chikara,Ozeri,M,1991-01-26
408700,e0002,1957-08-17,Uli,Uludag,M,1996-09-30
473025,e0002,1956-03-05,Jongsuk,Oaver,F,1987-02-04
490675,s0001,1964-06-13,Murthy,Famili,M,1996-08-03
101227,s0001,1961-05-26,Kristin,Larfeldt,M,1987-09-26
81488,s0001,1955-07-24,Barun,Ratnakar,F,1993-06-14
218281,e0001,1963-07-03,Lidong,Muchinsky,M,1987-10-25
412901,s0002,1960-06-08,Fabrizio,Hanratty,M,1990-01-26
277606,s0001,1952-10-18,Gina,Muhlberg,M,1985-05-05
18671,e0003,1955-12-12,Shan,Nastansky,M,1986-05-04
109910,e0002,1952-07-03,Guadalupe,McConalogue,F,1993-11-18
421322,e0002,1960-08-04,Goh,Welham,F,1990-10-03
283217,s0001,1953-09-11,Manton,Lamparter,M,1993-08-05
71451,s0001,1954-02-07,Munenori,Chelton,M,1986-10-12
107551,s0001,1956-08-08,Thanasis,Gomatam,M,1995-03-22
49231,e0003,1964-09-12,Marie,Dymetman,M,1986-12-20
485689,s0001,1961-08-04,Hironoby,Muhlberg,M,1988-09-17
24248,e0003,1954-03-08,Menkae,Zwicker,F,1991-10-07
23778,s0001,1956-09-21,Lunjin,Matzov,F,1991-03-21
234549,e0001,1955-05-01,Murthy,Dengi,M,1993-10-21
52958,e0003,1952-07-27,Mizuhito,Kaminger,F,1993-07-07
228132,e0003,1957-08-17,Uinam,Benveniste,M,1985-03-19
58439,s0001,1961-05-29,Sham,Bugrara,M,1986-10-12
220519,e0002,1960-08-12,Djelloul,Esposito,M,1986-09-20
279163,e0003,1961-06-10,Evgueni,Valtorta,F,1992-09-06
448625,s0001,1955-08-06,Honesty,Matzke,M,1996-08-12
286804,e0003,1956-12-23,Paloma,Werthner,F,1988-03-15
221716,s0001,1960-08-01,Ebbe,Navazio,M,1987-06-27
220764,s0001,1962-08-13,Fun,Olivero,M,1990-04-02
24409,s0001,1952-02-27,Eckart,Puoti,M,1986-02-10
420687,s0001,1964-12-10,Shuzo,Schmittgen,M,1989-06-06
202683,e0002,1964-06-04,Hongzue,Marwedel,F,1992-01-15
86488,s0001,1962-10-09,Shigeichiro,Swen,F,1990-02-08
411962,s0001,1954-08-04,Tooru,Murillo,M,1985-04-24
468816,s0001,1954-08-07,Jiang,Bennet,M,1988-04-21
78296,s0001,1959-07-17,Annemarie,Tagansky,F,1997-07-24
286480,s0002,1954-11-12,Dzung,Aloia,M,1990-01-14
265426,e0002,1962-03-10,Kiam,Famili,M,1988-12-14
224274,e0003,1963-10-08,Wanqing,Lorcy,M,1990-06-27
64347,s0002,1963-01-01,Sverrir,Munke,M,1987-09-05
62305,e0002,1956-04-22,Berry,Narlikar,M,1993-01-14
265324,s0002,1960-09-13,Along,Vieth,M,1997-12-20
498507,s0001,1960-09-24,Perla,Delgrange,M,1989-12-08
403489,e0002,1958-10-31,Zvonko,Benzmuller,M,1992-10-21
405911,e0003,1953-01-13,Moti,Billingsley,F,1994-11-26
482699,e0003,1963-06-20,Tomokazu,Chleq,F,1985-05-17
497206,e0003,1962-03-30,Mats,Sinicrope,M,1986-06-23
463349,e0003,1956-06-17,Arie,Rosis,M,1992-02-18
241438,s0001,1963-03-25,Val,Marwedel,M,1993-03-07
266415,e0002,1954-03-17,Genki,Ventosa,M,1986-11-19
76717,s0001,1954-10-23,Jamaludin,Kitai,M,1993-08-24
413052,s0001,1954-07-16,Martial,England,M,1985-10-06
418518,e0003,1956-03-03,Eldridge,Schlenzig,M,1995-02-24
224584,s0001,1954-05-03,Utpal,Emmerich,M,1989-10-29
268391,e0003,1953-01-15,Fumiya,Fritzsche,F,1990-01-26
241918,e0003,1956-11-09,Ramya,Panienski,M,1985-09-30
467302,s0001,1953-03-20,Goa,Pramanik,M,1992-08-23
471172,e0003,1959-02-27,Matt,Albarhamtoshy,F,1988-12-29
246355,e0004,1959-06-29,Hyuckchul,Doering,M,1985-12-28
25022,s0001,1955-08-04,Zengping,Hiroyama,M,1988-06-02
293749,e0003,1957-07-17,Phuoc,Rijsenbrij,F,1985-04-28
80991,s0001,1952-07-31,Marco,Schreiter,F,1986-08-29
222692,s0001,1954-06-12,Ghassan,Kruskal,F,1994-05-03
64205,s0001,1956-12-06,Arto,Luck,M,1990-11-28
461189,e0002,1959-10-15,Danai,Lamba,F,1986-04-29
37764,s0001,1953-07-19,Kristine,Albarhamtoshy,F,1990-08-21
284703,s0001,1959-07-28,Rasikan,Ghelli,F,1985-02-06
108265,e0003,1957-06-11,Khalid,Kushner,M,1985-06-24
438389,e0003,1957-01-11,Nectarios,Marshall,M,1990-06-17
472852,s0001,1959-03-12,Martijn,Wiegley,F,1986-01-23
465159,e0003,1961-01-31,Dharmaraja,Peck,M,1985-05-01
486950,e0002,1964-01-22,Jolita,Herath,M,1988-03-14
417745,e0002,1960-09-10,Christophe,Pollacia,M,1992-09-01
239428,e0003,1964-08-17,Syozo,Masaki,F,1985-04-21
418258,s0002,1963-02-28,Hugo,Szemeredi,M,1989-03-12
487866,e0003,1955-05-11,Elvia,Decaestecker,M,1989-09-21
422827,s0002,1964-12-15,Arfst,Verspoor,M,1985-10-19
412416,e0003,1955-06-28,Mahmut,Bashian,M,1989-04-16
457419,e0003,1960-01-14,Manton,Valtorta,M,1990-09-05
60921,s0001,1961-12-29,Fen,Merlo,M,1990-04-20
429755,e0002,1958-07-09,Fun,Anick,F,1991-02-20
32747,e0003,1959-04-13,Jeanne,Salinas,F,1985-09-16
269544,s0001,1964-02-14,Maya,Sichman,F,1986-07-15
69659,s0001,1960-03-22,Hongzhu,Chleq,M,1987-04-24
475512,e0003,1962-12-28,Mari,Siepmann,M,1995-08-08
479400,e0002,1962-10-03,Alenka,Ruemmler,F,1998-05-23
28006,e0002,1963-05-01,Mats,Birnbaum,M,1995-09-11
482909,e0003,1952-07-20,Magy,Chvatal,M,1988-02-08
65947,e0003,1954-07-14,Mechthild,Zockler,M,1992-05-01
292003,e0002,1960-02-20,Cheong,Pell,F,1991-12-25
490435,e0002,1961-01-05,Ebbe,Munro,F,1988-12-22
58408,s0001,1955-06-24,Weiyi,Puppo,F,1987-06-11
460658,s0001,1959-08-31,Dipayan,Benner,F,1989-09-08
224543,e0002,1960-10-28,Randi,Khasidashvili,F,1988-09-07
94424,e0002,1957-10-19,Froduald,Ranft,M,1987-10-10
28763,s0001,1952-07-14,Selwyn,Bojadziev,M,1990-07-08
218848,e0003,1959-12-09,Vishv,Facello,M,1987-02-13
66928,s0001,1953-08-13,Charlene,Plessier,F,1989-12-22
461474,s0001,1955-03-15,King,Hammerschmidt,M,1988-06-14
206615,e0002,1957-06-30,Abdulla,Silva,F,1986-03-17
85605,s0001,1954-03-07,Zongyan,Emiris,M,1989-06-17
487051,e0003,1963-07-27,Margo,Senzako,F,1986-05-13
23123,e0002,1957-01-11,Xiaoshan,Armand,M,1987-11-28
416877,s0001,1965-01-02,Gio,Orsini,M,1988-12-07
466320,s0001,1954-02-02,Shigehiro,Janetzko,F,1988-08-15
275711,s0001,1954-07-14,Foong,Minakawa,M,1992-01-04
81373,s0001,1958-04-26,Arnd,Peroz,M,1987-08-11
213460,e0003,1952-04-18,Tsvetan,Farrel,M,1990-10-22
230135,e0002,1956-07-11,Jiakeng,Kakkar,M,1992-07-29
476404,e0004,1956-08-08,Sariel,Selenyi,F,1994-08-26
473935,s0002,1963-11-11,Kyoichi,Luks,F,1985-05-06
244875,e0001,1964-01-28,Gay,Erev,M,1988-06-15
