emp_no,emp_title_id,birth_date,first_name,last_name,gender,hire_date
54519,e0002,1956-11-18,Fun,Zaccaria,M,1988-12-25
299845,e0002,1957-08-26,Clyde,Mawatari,M,1985-04-01
298010,e0002,1956-11-11,Alejandra,Businaro,M,1986-09-03
237599,e0003,1960-01-23,Takanari,Segond,F,1987-02-19
236264,s0001,1957-08-16,Genevieve,Parascandalo,M,1985-06-25
429505,s0001,1960-08-31,Gina,Wielonsky,M,1987-08-26
439007,e0003,1959-09-08,Kitty,Leonhardt,M,1993-12-31
241479,e0004,1952-07-18,Sungwon,Yavatkar,F,1994-06-30
55456,s0001,1954-04-15,Valeri,Kadhim,M,1993-02-19
457778,e0002,1963-01-16,Genki,Chepyzhov,M,1990-04-19
299682,e0003,1960-08-18,Takahito,Muhling,F,1986-05-27
230067,e0003,1964-06-02,Genki,Yurek,M,1989-05-14
217484,e0003,1953-08-03,Subhrajyoti,Nivat,M,1986-07-20
492608,e0003,1956-11-10,Maren,Pelc,F,1986-11-02
226488,e0003,1959-03-03,Ishfaq,Businaro,M,1989-03-03
253732,e0003,1953-10-14,Lenore,Slobodova,F,1989-09-28
426623,s0001,1952-06-25,Yifei,Cochrane,F,1987-08-29
280144,s0001,1963-06-01,Kristine,Dichev,M,1990-02-25
232833,s0001,1963-06-13,Zhonghui,Katzenelson,M,1989-03-30
250757,e0003,1964-01-17,Oldrich,Sherertz,M,1990-09-06
402655,s0002,1964-01-23,Arnd,Eickenmeyer,F,1994-12-04
94612,e0002,1963-07-26,Menkae,Panwar,M,1993-03-21
83272,e0002,1962-10-03,Mohammad,Douceur,F,1999-02-27
423033,s0001,1962-10-04,Shuho,Luef,F,1988-01-26
105520,s0002,1965-01-01,Haldun,Lienhardt,M,1987-01-29
481421,s0001,1960-07-09,Aran,Gihr,M,1987-03-21
462033,s0001,1955-08-26,Genta,Compeau,M,1992-08-23
50005,e0002,1962-02-25,Kendra,Bernardinello,M,1988-11-04
38342,s0001,1958-04-25,Isamu,Luon,F,1994-01-16
